,code,areaName,houseType,households,HouseholdSize,Households
298,E12000002,North West,terraced,886330,h1,1014910
299,E12000002,North West,terraced,886330,h2,1014910
300,E12000002,North West,terraced,886330,h3,1054079
301,E12000002,North West,terraced,886330,h4,500601
302,E12000002,North West,terraced,886330,h5,377427
303,E12000002,North West,terraced,886330,h6,133010
304,E12000002,North West,terraced,886330,h7,45673
305,E12000002,North West,terraced,886330,h8plus,11611
306,E12000002,North West,flats,394015,h0,0
307,E12000002,North West,flats,394015,h1,1014910
308,E12000002,North West,flats,394015,h2,1014910
309,E12000002,North West,flats,394015,h3,1054079
310,E12000002,North West,flats,394015,h4,500601
311,E12000002,North West,flats,394015,h5,377427
312,E12000002,North West,flats,394015,h6,133010
313,E12000002,North West,flats,394015,h7,45673
314,E12000002,North West,flats,394015,h8plus,11611
315,E12000002,North West,detached,599838,h0,0
316,E12000002,North West,detached,599838,h1,1014910
317,E12000002,North West,detached,599838,h2,1014910
318,E12000002,North West,detached,599838,h3,1054079
319,E12000002,North West,detached,599838,h4,500601
320,E12000002,North West,detached,599838,h5,377427
321,E12000002,North West,detached,599838,h6,133010
322,E12000002,North West,detached,599838,h7,45673
323,E12000002,North West,detached,599838,h8plus,11611
324,E12000002,North West,caravan,8937,h0,0
325,E12000002,North West,caravan,8937,h1,1014910
326,E12000002,North West,caravan,8937,h2,1014910
327,E12000002,North West,caravan,8937,h3,1054079
328,E12000002,North West,caravan,8937,h4,500601
329,E12000002,North West,caravan,8937,h5,377427
330,E12000002,North West,caravan,8937,h6,133010
331,E12000002,North West,caravan,8937,h7,45673
332,E12000002,North West,caravan,8937,h8plus,11611
333,E12000002,North West,conversion,22246,h0,0
334,E12000002,North West,conversion,22246,h1,1014910
335,E12000002,North West,conversion,22246,h2,1014910
336,E12000002,North West,conversion,22246,h3,1054079
337,E12000002,North West,conversion,22246,h4,500601
338,E12000002,North West,conversion,22246,h5,377427
339,E12000002,North West,conversion,22246,h6,133010
340,E12000002,North West,conversion,22246,h7,45673
341,E12000002,North West,conversion,22246,h8plus,11611
342,E12000002,North West,semiDetached,1160271,h0,0
343,E12000002,North West,semiDetached,1160271,h1,1014910
344,E12000002,North West,semiDetached,1160271,h2,1014910
345,E12000002,North West,semiDetached,1160271,h3,1054079
346,E12000002,North West,semiDetached,1160271,h4,500601
347,E12000002,North West,semiDetached,1160271,h5,377427
348,E12000002,North West,semiDetached,1160271,h6,133010
349,E12000002,North West,semiDetached,1160271,h7,45673
350,E12000002,North West,semiDetached,1160271,h8plus,11611
351,E12000002,North West,sharedHouse,59053,h0,0
352,E12000002,North West,sharedHouse,59053,h1,1014910
353,E12000002,North West,sharedHouse,59053,h2,1014910
354,E12000002,North West,sharedHouse,59053,h3,1054079
355,E12000002,North West,sharedHouse,59053,h4,500601
356,E12000002,North West,sharedHouse,59053,h5,377427
357,E12000002,North West,sharedHouse,59053,h6,133010
358,E12000002,North West,sharedHouse,59053,h7,45673
359,E12000002,North West,sharedHouse,59053,h8plus,11611
360,E12000008,South East,terraced,812592,h0,0
361,E12000008,South East,terraced,812592,h1,1081739
362,E12000008,South East,terraced,812592,h2,1081739
363,E12000008,South East,terraced,812592,h3,1324005
364,E12000008,South East,terraced,812592,h4,617807
365,E12000008,South East,terraced,812592,h5,535503
366,E12000008,South East,terraced,812592,h6,172459
367,E12000008,South East,terraced,812592,h7,51445
368,E12000008,South East,terraced,812592,h8plus,9321
369,E12000008,South East,sharedHouse,118927,h0,0
370,E12000008,South East,sharedHouse,118927,h1,1081739
371,E12000008,South East,sharedHouse,118927,h2,1081739
372,E12000008,South East,sharedHouse,118927,h3,1324005
373,E12000008,South East,sharedHouse,118927,h4,617807
374,E12000008,South East,sharedHouse,118927,h5,535503
375,E12000008,South East,sharedHouse,118927,h6,172459
376,E12000008,South East,sharedHouse,118927,h7,51445
377,E12000008,South East,sharedHouse,118927,h8plus,9321
378,E12000008,South East,detached,1065035,h0,0
379,E12000008,South East,detached,1065035,h1,1081739
380,E12000008,South East,detached,1065035,h2,1081739
381,E12000008,South East,detached,1065035,h3,1324005
382,E12000008,South East,detached,1065035,h4,617807
383,E12000008,South East,detached,1065035,h5,535503
384,E12000008,South East,detached,1065035,h6,172459
385,E12000008,South East,detached,1065035,h7,51445
386,E12000008,South East,detached,1065035,h8plus,9321
387,E12000008,South East,caravan,25243,h0,0
388,E12000008,South East,caravan,25243,h1,1081739
389,E12000008,South East,caravan,25243,h2,1081739
390,E12000008,South East,caravan,25243,h3,1324005
391,E12000008,South East,caravan,25243,h4,617807
392,E12000008,South East,caravan,25243,h5,535503
393,E12000008,South East,caravan,25243,h6,172459
394,E12000008,South East,caravan,25243,h7,51445
395,E12000008,South East,caravan,25243,h8plus,9321
396,E12000008,South East,semiDetached,1082651,h0,0
397,E12000008,South East,semiDetached,1082651,h1,1081739
398,E12000008,South East,semiDetached,1082651,h2,1081739
399,E12000008,South East,semiDetached,1082651,h3,1324005
400,E12000008,South East,semiDetached,1082651,h4,617807
401,E12000008,South East,semiDetached,1082651,h5,535503
402,E12000008,South East,semiDetached,1082651,h6,172459
403,E12000008,South East,semiDetached,1082651,h7,51445
404,E12000008,South East,semiDetached,1082651,h8plus,9321
405,E12000008,South East,conversion,30739,h0,0
406,E12000008,South East,conversion,30739,h1,1081739
407,E12000008,South East,conversion,30739,h2,1081739
408,E12000008,South East,conversion,30739,h3,1324005
409,E12000008,South East,conversion,30739,h4,617807
410,E12000008,South East,conversion,30739,h5,535503
411,E12000008,South East,conversion,30739,h6,172459
412,E12000008,South East,conversion,30739,h7,51445
413,E12000008,South East,conversion,30739,h8plus,9321
414,E12000008,South East,commercial,32687,h0,0
415,E12000008,South East,commercial,32687,h1,1081739
416,E12000008,South East,commercial,32687,h2,1081739
417,E12000008,South East,commercial,32687,h3,1324005
418,E12000008,South East,commercial,32687,h4,617807
419,E12000008,South East,commercial,32687,h5,535503
420,E12000008,South East,commercial,32687,h6,172459
421,E12000008,South East,commercial,32687,h7,51445
422,E12000008,South East,commercial,32687,h8plus,9321
423,E12000008,South East,flats,640091,h0,0
424,E12000008,South East,flats,640091,h1,1081739
425,E12000008,South East,flats,640091,h2,1081739
426,E12000008,South East,flats,640091,h3,1324005
427,E12000008,South East,flats,640091,h4,617807
428,E12000008,South East,flats,640091,h5,535503
429,E12000008,South East,flats,640091,h6,172459
430,E12000008,South East,flats,640091,h7,51445
431,E12000008,South East,flats,640091,h8plus,9321
432,E12000009,South West,commercial,21495,h0,0
433,E12000009,South West,commercial,21495,h1,741323
434,E12000009,South West,commercial,21495,h2,741323
435,E12000009,South West,commercial,21495,h3,910536
436,E12000009,South West,commercial,21495,h4,364516
437,E12000009,South West,commercial,21495,h5,298067
438,E12000009,South West,commercial,21495,h6,93966
439,E12000009,South West,commercial,21495,h7,27509
440,E12000009,South West,commercial,21495,h8plus,4848
441,E12000009,South West,conversion,25536,h0,0
442,E12000009,South West,conversion,25536,h1,741323
443,E12000009,South West,conversion,25536,h2,741323
444,E12000009,South West,conversion,25536,h3,910536
445,E12000009,South West,conversion,25536,h4,364516
446,E12000009,South West,conversion,25536,h5,298067
447,E12000009,South West,conversion,25536,h6,93966
448,E12000009,South West,conversion,25536,h7,27509
449,E12000009,South West,conversion,25536,h8plus,4848
450,E12000009,South West,flats,314386,h0,0
451,E12000009,South West,flats,314386,h1,741323
452,E12000009,South West,flats,314386,h2,741323
453,E12000009,South West,flats,314386,h3,910536
454,E12000009,South West,flats,314386,h4,364516
455,E12000009,South West,flats,314386,h5,298067
456,E12000009,South West,flats,314386,h6,93966
457,E12000009,South West,flats,314386,h7,27509
458,E12000009,South West,flats,314386,h8plus,4848
459,E12000009,South West,caravan,18628,h0,0
460,E12000009,South West,caravan,18628,h1,741323
461,E12000009,South West,caravan,18628,h2,741323
462,E12000009,South West,caravan,18628,h3,910536
463,E12000009,South West,caravan,18628,h4,364516
464,E12000009,South West,caravan,18628,h5,298067
465,E12000009,South West,caravan,18628,h6,93966
466,E12000009,South West,caravan,18628,h7,27509
467,E12000009,South West,caravan,18628,h8plus,4848
468,E12000009,South West,sharedHouse,93304,h0,0
469,E12000009,South West,sharedHouse,93304,h1,741323
470,E12000009,South West,sharedHouse,93304,h2,741323
471,E12000009,South West,sharedHouse,93304,h3,910536
472,E12000009,South West,sharedHouse,93304,h4,364516
473,E12000009,South West,sharedHouse,93304,h5,298067
474,E12000009,South West,sharedHouse,93304,h6,93966
475,E12000009,South West,sharedHouse,93304,h7,27509
476,E12000009,South West,sharedHouse,93304,h8plus,4848
477,E12000009,South West,detached,734775,h0,0
478,E12000009,South West,detached,734775,h1,741323
479,E12000009,South West,detached,734775,h2,741323
480,E12000009,South West,detached,734775,h3,910536
481,E12000009,South West,detached,734775,h4,364516
482,E12000009,South West,detached,734775,h5,298067
483,E12000009,South West,detached,734775,h6,93966
484,E12000009,South West,detached,734775,h7,27509
485,E12000009,South West,detached,734775,h8plus,4848
486,E12000009,South West,semiDetached,694153,h0,0
487,E12000009,South West,semiDetached,694153,h1,741323
488,E12000009,South West,semiDetached,694153,h2,741323
489,E12000009,South West,semiDetached,694153,h3,910536
490,E12000009,South West,semiDetached,694153,h4,364516
491,E12000009,South West,semiDetached,694153,h5,298067
492,E12000009,South West,semiDetached,694153,h6,93966
493,E12000009,South West,semiDetached,694153,h7,27509
494,E12000009,South West,semiDetached,694153,h8plus,4848
495,E12000009,South West,terraced,546603,h0,0
496,E12000009,South West,terraced,546603,h1,741323
497,E12000009,South West,terraced,546603,h2,741323
498,E12000009,South West,terraced,546603,h3,910536
499,E12000009,South West,terraced,546603,h4,364516
500,E12000009,South West,terraced,546603,h5,298067
501,E12000009,South West,terraced,546603,h6,93966
502,E12000009,South West,terraced,546603,h7,27509
503,E12000009,South West,terraced,546603,h8plus,4848
504,W92000004,Wales,semiDetached,431871,h0,0
505,W92000004,Wales,semiDetached,431871,h1,429559
506,W92000004,Wales,semiDetached,431871,h2,429559
507,W92000004,Wales,semiDetached,431871,h3,472906
508,W92000004,Wales,semiDetached,431871,h4,212281
509,W92000004,Wales,semiDetached,431871,h5,157455
510,W92000004,Wales,semiDetached,431871,h6,52304
511,W92000004,Wales,semiDetached,431871,h7,15162
512,W92000004,Wales,semiDetached,431871,h8plus,2738
513,W92000004,Wales,caravan,4368,h0,0
514,W92000004,Wales,caravan,4368,h1,429559
515,W92000004,Wales,caravan,4368,h2,429559
516,W92000004,Wales,caravan,4368,h3,472906
517,W92000004,Wales,caravan,4368,h4,212281
518,W92000004,Wales,caravan,4368,h5,157455
519,W92000004,Wales,caravan,4368,h6,52304
520,W92000004,Wales,caravan,4368,h7,15162
521,W92000004,Wales,caravan,4368,h8plus,2738
522,W92000004,Wales,terraced,358035,h0,0
523,W92000004,Wales,terraced,358035,h1,429559
524,W92000004,Wales,terraced,358035,h2,429559
525,W92000004,Wales,terraced,358035,h3,472906
526,W92000004,Wales,terraced,358035,h4,212281
527,W92000004,Wales,terraced,358035,h5,157455
528,W92000004,Wales,terraced,358035,h6,52304
529,W92000004,Wales,terraced,358035,h7,15162
530,W92000004,Wales,terraced,358035,h8plus,2738
531,W92000004,Wales,conversion,6842,h0,0
532,W92000004,Wales,conversion,6842,h1,429559
533,W92000004,Wales,conversion,6842,h2,429559
534,W92000004,Wales,conversion,6842,h3,472906
535,W92000004,Wales,conversion,6842,h4,212281
536,W92000004,Wales,conversion,6842,h5,157455
537,W92000004,Wales,conversion,6842,h6,52304
